category,series-0
Coeficiente Intelectual,190
Autodisciplina,100
Liderazgo Participativo o Democrático,100
Descripción del Nivel de Valores,100
Orientación a Resultados para las ventas,95
Descripción del Nivel de ética,95
Nivel de Valores,90
Habilidades de Comunicación,90
Descripción del Nivel de Honestidad,90
Responsabilidad,90
